timestamp,passenger_count,trip_distance,total_amount,humidity,pressure,temperature,weather_description,wind_direction,wind_speed
1509404400,15384,32820.95999999997,158997.2899999982,,,,,,
1512457200,24834,40630.42000000004,231438.5199999722,,,,,,
1514631600,22328,32595.060000000118,176858.5099999893,,,,,,
1513918800,5108,16030.619999999932,70428.13000000216,,,,,,
1512403200,25126,47960.959999999766,293696.2199999587,,,,,,
1513684800,26343,42294.809999999816,269031.9399999573,,,,,,
1514502000,19032,36889.13000000001,183958.48999998983,,,,,,
1513432800,34290,52465.48999999962,303124.7999999363,,,,,,
1510257600,32671,59741.359999999775,351306.75999993854,,,,,,
1511233200,2316,5775.560000000016,25808.90999999963,,,,,,
1511654400,19556,33997.04000000003,173097.2899999909,,,,,,
1510869600,33894,68541.03999999964,372659.2399999313,,,,,,
1513573200,5177,15152.48999999999,66009.48000000215,,,,,,
1513054800,4818,12764.33,57525.3300000017,,,,,,
1512090000,11494,21670.34000000001,108837.44000000696,,,,,,
1513864800,29342,48216.200000000215,299622.67999994586,,,,,,
1519574400,1,1.48,19.3,,,,,,
1512381600,21866,39420.38999999991,236072.1499999705,,,,,,
1513623600,30876,49644.84999999979,300607.869999948,,,,,,
1511424000,9674,17568.06000000003,87083.84000000503,,,,,,
1511197200,28746,46565.45,302623.7499999486,,,,,,
1514512800,6223,11663.809999999983,55675.59000000207,,,,,,
1512392400,24277,48537.159999999836,270445.4699999619,,,,,,
1512781200,24552,44660.66999999996,235986.41999996948,,,,,,
1513443600,30127,47249.93000000003,286491.8599999484,,,,,,
1512126000,24994,42724.810000000325,261266.97999996052,,,,,,
1510736400,26385,42529.00999999994,275805.7599999597,,,,,,
1512075600,34571,66813.57000000012,368328.9299999338,,,,,,
1510567200,23439,39972.14000000012,252180.43999996746,,,,,,
1514714400,16275,25760.09000000001,128189.16000001165,,,,,,
1513270800,28369,47512.23000000007,338535.8399999446,,,,,,
1512928800,28534,52329.730000000265,289432.37999995216,,,,,,
1510560000,26611,45278.05999999998,281220.37999995984,,,,,,
1041375600,1,3.15,17.3,,,,,,
1509174000,9282,20343.81999999996,92762.95000000569,,,,,,
1509415200,3335,6979.120000000003,32738.589999999283,,,,,,
1513202400,33875,71355.23000000019,383364.65999993257,,,,,,
1513796400,34786,51260.07999999992,332808.77999993373,,,,,,
1513184400,29492,47139.27000000016,336342.8799999439,,,,,,
1511370000,27376,41712.19000000004,283728.8799999522,,,,,,
1511784000,22130,42122.49000000001,235062.3099999716,,,,,,
1511978400,31596,49281.29999999995,339560.199999938,,,,,,
1513047600,2222,5280.990000000007,23658.269999999648,,,,,,
1512417600,28773,53737.02999999998,287409.7599999567,,,,,,
1514548800,26290,39861.39000000024,228078.6499999657,,,,,,
1509858000,6249,17016.049999999996,75003.02000000281,,,,,,
1512972000,13186,28757.990000000096,137590.5400000061,,,,,,
1512680400,36256,69631.57000000027,391040.0299999304,,,,,,
1512388800,23453,42710.590000000084,252429.50999996593,,,,,,
1509343200,14114,27906.070000000123,138001.3000000072,,,,,,
978307200,1,0.0,3.8,,,,,,
1509652800,33644,61136.880000000245,348152.2499999361,,,,,,
1509195600,30902,47988.47999999973,271506.17999995145,,,,,,
1509433200,22803,36513.49999999978,208218.6799999798,,,,,,
1510646400,27136,43394.610000000095,270944.2699999602,,,,,,
1514170800,2973,6437.500000000004,29096.629999999415,,,,,,
1511535600,24579,38732.28999999991,209212.98999997406,,,,,,
1513342800,27692,47929.980000000076,298568.83999995224,,,,,,
1511780400,20460,35568.550000000105,206229.13999998203,,,,,,
1511866800,22377,38318.43000000012,235897.39999997296,,,,,,
1512622800,5032,15230.819999999978,68778.93000000202,,,,,,
1512255600,33455,51135.36000000017,306113.18999994465,,,,,,
1510556400,24253,43998.90999999999,244534.3799999711,,,,,,
1512471600,24144,40980.69000000034,259814.42999996358,,,,,,
1511388000,23990,39802.52999999995,219315.269999972,,,,,,
1511064000,9891,20787.579999999944,96243.43000000632,,,,,,
1514048400,24956,38964.339999999895,214303.81999997247,,,,,,
1509552000,23596,44920.48000000021,287090.3299999564,,,,,,
1512262800,28133,46386.11000000031,249550.7499999653,,,,,,
1512241200,35992,48802.32000000066,315708.7399999341,,,,,,
1514228400,16114,27051.38000000007,134723.54000000886,,,,,,
1510714800,2891,6841.330000000008,30436.659999999458,,,,,,
1510570800,22095,37668.59999999991,235790.21999997372,,,,,,
1513774800,27726,44893.48999999998,278171.8299999557,,,,,,
1510286400,3917,11665.070000000022,52204.45000000079,,,,,,
1510394400,25388,38619.19999999998,226336.2499999709,,,,,,
1513821600,6556,13088.98000000002,64708.78000000244,,,,,,
1510160400,28227,46859.14999999992,313898.4199999492,,,,,,
1510095600,18963,38714.71999999995,195548.6599999869,,,,,,
1509508800,4816,12440.329999999984,54709.65000000126,,,,,,
1513706400,32624,49922.46000000008,333720.7499999369,,,,,,
1510603200,27640,53190.34999999988,280570.539999958,,,,,,
1513767600,25726,38872.53999999977,250951.52999996394,,,,,,
1512511200,31004,57735.61999999986,321999.9199999462,,,,,,
1510664400,24330,44287.87999999997,264879.0399999621,,,,,,
1513116000,32995,65514.61999999987,345681.59999994235,,,,,,
1509202800,31158,52308.430000000095,294776.15999994194,,,,,,
1513245600,25612,39955.72999999989,255369.9399999639,,,,,,
1509562800,32727,54445.460000000036,340250.89999993786,,,,,,
1513126800,7928,16132.010000000024,77889.38000000398,,,,,,
1510268400,28629,60399.44999999987,321407.3099999475,,,,,,
1514390400,25348,42300.69999999968,271057.8699999577,,,,,,
1512385200,22291,38978.579999999885,237953.9899999718,,,,,,
1509238800,29208,48271.279999999904,269155.8099999587,,,,,,
1514246400,5896,12802.19000000001,57209.92000000191,,,,,,
1509271200,22701,37089.359999999884,188285.94999998467,,,,,,
1509465600,22899,38877.99000000003,256329.0999999654,,,,,,
1509976800,26950,52348.460000000036,291458.66999995103,,,,,,
1230811200,2,21.6,79.07,,,,,,
1513526400,27734,51843.2399999999,286486.82999995607,,,,,,
1510110000,2241,5381.210000000005,24002.09999999964,,,,,,
1511647200,26410,48504.089999999866,249296.049999964,,,,,,
1513728000,15755,32687.70000000002,162310.94999999768,,,,,,
1509228000,32746,51306.630000000056,305379.0399999387,,,,,,
1510156800,23314,46245.58999999988,290730.01999996125,,,,,,
1510912800,24095,40240.739999999874,249527.50999996762,,,,,,
1512169200,35666,64638.70000000037,358380.8099999308,,,,,,
1511305200,19855,38653.69999999998,198694.6799999849,,,,,,
1511665200,10411,20802.179999999942,97315.04000000596,,,,,,
1509822000,37017,50939.250000000284,312471.26999992906,,,,,,
1514062800,19027,30648.959999999955,162760.82999999714,,,,,,
1511334000,21169,34582.260000000024,199366.51999998387,,,,,,
1512036000,24319,40981.63999999996,259505.7299999641,,,,,,
1512594000,35914,69419.2699999999,385068.6099999297,,,,,,
1509987600,28881,52141.42000000006,318235.27999994444,,,,,,
1513926000,17219,29817.73999999991,157224.4399999982,,,,,,
1511946000,24716,39373.88000000007,254669.6199999665,,,,,,
1512273600,10286,22187.640000000065,103611.77000000619,,,,,,
1509246000,22568,41129.26999999989,210105.7599999788,,,,,,
1514635200,23430,32262.07999999997,183810.23999998593,,,,,,
1230840000,4,1.09,8.3,,,,,,
1511701200,26588,49130.510000000126,254214.2799999614,,,,,,
1511942400,27518,41700.79999999995,265118.32999996014,,,,,,
1512226800,30142,47465.37999999973,291110.2399999432,,,,,,
1512867600,24240,41451.30000000005,212393.3799999789,,,,,,
1511211600,27904,51601.4599999998,272172.21999996074,,,,,,
1514080800,7968,15358.030000000032,72567.11000000412,,,,,,
1512702000,5867,12837.29000000007,61669.39000000213,,,,,,
1513177200,28832,50606.90999999992,320280.4699999445,,,,,,
1511712000,25086,51515.629999999874,266375.07999996236,,,,,,
1512648000,26983,49363.15000000008,305643.39999994944,,,,,,
1513195200,34716,60185.879999999925,358250.92999993666,,,,,,
1512766800,34700,61145.240000000136,350037.5099999346,,,,,,
1514365200,19042,30791.420000000064,168128.55999999336,,,,,,
1511960400,23851,45764.56999999983,272788.83999996324,,,,,,
1230832800,4,0.87,17.8,,,,,,
1511262000,23601,37330.540000000125,237087.9799999693,,,,,,
1512338400,16483,38587.70999999991,182314.6799999911,,,,,,
1513436400,33144,53377.15999999954,310548.1899999386,,,,,,
1509501600,8502,16712.020000000004,79284.01000000424,,,,,,
1514260800,1391,4103.449999999997,17582.749999999836,,,,,,
1513411200,14537,24863.72999999994,126394.26000001,,,,,,
1512277200,4436,13713.350000000022,59121.76000000131,,,,,,
